"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","market_segment","reserved_room_type","customer_type","adr","total_of_special_requests"
"Resort Hotel",0,68,2015,"July",27,1,0,4,2,0,0,"BB","Online TA","D","Transient",97,3
"Resort Hotel",0,14,2015,"July",27,2,0,2,2,0,0,"BB","Online TA","A","Transient",98,1
"Resort Hotel",0,10,2015,"July",27,3,0,2,2,2,0,"BB","Online TA","G","Transient",153,0
"Resort Hotel",0,9,2015,"July",27,3,0,1,2,0,0,"BB","Online TA","C","Transient",94.71,0
"Resort Hotel",0,51,2015,"July",28,6,1,3,2,0,0,"BB","Online TA","G","Transient",117.81,2
"Resort Hotel",0,51,2015,"July",28,6,1,3,3,0,0,"BB","Online TA","G","Transient",117.81,2
"Resort Hotel",0,98,2015,"July",28,6,1,1,2,0,0,"BB","Online TA","D","Transient",87.3,1
"Resort Hotel",0,88,2015,"July",28,7,0,4,3,0,0,"HB","Offline TA/TO","D","Transient",150,1
"Resort Hotel",0,10,2015,"July",28,10,0,1,2,0,0,"BB","Direct","A","Transient",131,0
"Resort Hotel",0,42,2015,"July",29,13,1,2,2,0,0,"BB","Online TA","D","Transient",110,0
"Resort Hotel",0,7,2015,"July",29,16,0,1,2,2,0,"BB","Online TA","C","Transient",169,1
"Resort Hotel",0,70,2015,"July",31,28,0,1,2,1,0,"BB","Online TA","D","Transient",114.85,1
"Resort Hotel",0,110,2015,"July",31,28,2,8,2,0,0,"BB","Offline TA/TO","A","Transient",90.95,1
"Resort Hotel",0,5,2015,"August",32,8,2,1,2,0,0,"BB","Online TA","D","Transient",157.59,1
"Resort Hotel",0,34,2015,"August",33,9,2,2,2,0,0,"BB","Online TA","D","Transient",211,1
"Resort Hotel",0,30,2015,"August",33,10,1,2,2,0,0,"BB","Online TA","A","Transient",211,0
"Resort Hotel",0,2,2015,"August",33,15,2,2,2,2,0,"BB","Online TA","G","Transient",242.5,0
"Resort Hotel",0,0,2015,"August",34,20,0,1,1,0,0,"BB","Direct","G","Transient",200,0
"Resort Hotel",0,4,2015,"September",36,2,0,4,2,0,0,"BB","Online TA","D","Transient",154.25,0
"Resort Hotel",0,25,2015,"September",36,5,1,1,2,0,0,"BB","Online TA","E","Transient",139.5,1
"Resort Hotel",0,119,2015,"September",39,23,0,2,2,0,0,"BB","Online TA","A","Transient",56.98,1
"Resort Hotel",0,69,2015,"October",41,5,1,1,2,0,0,"HB","Online TA","A","Transient",88,1
"Resort Hotel",0,130,2015,"October",42,16,0,2,2,0,0,"BB","Online TA","F","Transient",98.4,0
